"year","month","decimal.date","average"
1991,6,1991.4583,358.23
1991,7,1991.5417,356.3
1991,8,1991.625,353.97
1991,9,1991.7083,352.34
1991,10,1991.7917,352.43
1991,11,1991.875,353.89
1991,12,1991.9583,355.21
1992,1,1992.0417,356.34
1992,2,1992.125,357.21
1992,3,1992.2083,357.97
1992,4,1992.2917,359.22
1992,5,1992.375,359.71
1992,6,1992.4583,359.43
1992,7,1992.5417,357.15
1992,8,1992.625,354.99
1992,9,1992.7083,353.01
1992,10,1992.7917,353.41
1992,11,1992.875,354.42
1992,12,1992.9583,355.68
1993,1,1993.0417,357.1
1993,2,1993.125,357.42
1993,3,1993.2083,358.59
1993,4,1993.2917,359.39
1993,5,1993.375,360.3
1993,6,1993.4583,359.64
1993,7,1993.5417,357.46
1993,8,1993.625,355.76
1993,9,1993.7083,354.14
1993,10,1993.7917,354.23
1993,11,1993.875,355.53
1993,12,1993.9583,357.03
1994,1,1994.0417,358.36
1994,2,1994.125,359.04
1994,3,1994.2083,360.11
1994,4,1994.2917,361.36
1994,5,1994.375,361.78
1994,6,1994.4583,360.94
1994,7,1994.5417,359.51
1994,8,1994.625,357.59
1994,9,1994.7083,355.86
1994,10,1994.7917,356.21
1994,11,1994.875,357.65
1994,12,1994.9583,359.1
1995,1,1995.0417,360.04
1995,2,1995.125,361
1995,3,1995.2083,361.98
1995,4,1995.2917,363.44
1995,5,1995.375,363.83
1995,6,1995.4583,363.33
1995,7,1995.5417,361.78
1995,8,1995.625,359.33
1995,9,1995.7083,358.32
1995,10,1995.7917,358.14
1995,11,1995.875,359.61
1995,12,1995.9583,360.82
1996,1,1996.0417,362.2
1996,2,1996.125,363.36
1996,3,1996.2083,364.28
1996,4,1996.2917,364.69
1996,5,1996.375,365.25
1996,6,1996.4583,365.06
1996,7,1996.5417,363.69
1996,8,1996.625,361.55
1996,9,1996.7083,359.69
1996,10,1996.7917,359.72
1996,11,1996.875,361.04
1996,12,1996.9583,362.39
1997,1,1997.0417,363.24
1997,2,1997.125,364.21
1997,3,1997.2083,364.65
1997,4,1997.2917,366.49
1997,5,1997.375,366.77
1997,6,1997.4583,365.73
1997,7,1997.5417,364.46
1997,8,1997.625,362.4
1997,9,1997.7083,360.44
1997,10,1997.7917,360.98
1997,11,1997.875,362.65
1997,12,1997.9583,364.51
1998,1,1998.0417,365.39
1998,2,1998.125,366.1
1998,3,1998.2083,367.36
1998,4,1998.2917,368.79
1998,5,1998.375,369.56
1998,6,1998.4583,369.13
1998,7,1998.5417,367.98
1998,8,1998.625,366.1
1998,9,1998.7083,364.16
1998,10,1998.7917,364.54
1998,11,1998.875,365.67
1998,12,1998.9583,367.3
1999,1,1999.0417,368.35
1999,2,1999.125,369.28
1999,3,1999.2083,369.84
1999,4,1999.2917,371.15
1999,5,1999.375,371.12
1999,6,1999.4583,370.46
1999,7,1999.5417,369.61
1999,8,1999.625,367.06
1999,9,1999.7083,364.95
1999,10,1999.7917,365.52
1999,11,1999.875,366.88
1999,12,1999.9583,368.26
2000,1,2000.0417,369.45
2000,2,2000.125,369.71
2000,3,2000.2083,370.75
2000,4,2000.2917,371.98
2000,5,2000.375,371.75
2000,6,2000.4583,371.87
2000,7,2000.5417,370.02
2000,8,2000.625,368.27
2000,9,2000.7083,367.15
2000,10,2000.7917,367.18
2000,11,2000.875,368.53
2000,12,2000.9583,369.83
2001,1,2001.0417,370.76
2001,2,2001.125,371.69
2001,3,2001.2083,372.63
2001,4,2001.2917,373.55
2001,5,2001.375,374.03
2001,6,2001.4583,373.4
2001,7,2001.5417,371.68
2001,8,2001.625,369.78
2001,9,2001.7083,368.34
2001,10,2001.7917,368.61
2001,11,2001.875,369.94
2001,12,2001.9583,371.42
2002,1,2002.0417,372.7
2002,2,2002.125,373.37
2002,3,2002.2083,374.3
2002,4,2002.2917,375.19
2002,5,2002.375,375.93
2002,6,2002.4583,375.69
2002,7,2002.5417,374.16
2002,8,2002.625,372.03
2002,9,2002.7083,370.93
2002,10,2002.7917,370.73
2002,11,2002.875,372.43
2002,12,2002.9583,373.98
2003,1,2003.0417,375.07
2003,2,2003.125,375.82
2003,3,2003.2083,376.64
2003,4,2003.2917,377.92
2003,5,2003.375,378.78
2003,6,2003.4583,378.46
2003,7,2003.5417,376.88
2003,8,2003.625,374.57
2003,9,2003.7083,373.34
2003,10,2003.7917,373.31
2003,11,2003.875,374.84
2003,12,2003.9583,376.17
2004,1,2004.0417,377.17
2004,2,2004.125,378.05
2004,3,2004.2083,379.06
2004,4,2004.2917,380.54
2004,5,2004.375,380.8
2004,6,2004.4583,379.87
2004,7,2004.5417,377.65
2004,8,2004.625,376.17
2004,9,2004.7083,374.43
2004,10,2004.7917,374.63
2004,11,2004.875,376.33
2004,12,2004.9583,377.68
2005,1,2005.0417,378.63
2005,2,2005.125,379.91
2005,3,2005.2083,380.95
2005,4,2005.2917,382.48
2005,5,2005.375,382.64
2005,6,2005.4583,382.4
2005,7,2005.5417,380.93
2005,8,2005.625,378.93
2005,9,2005.7083,376.89
2005,10,2005.7917,377.19
2005,11,2005.875,378.54
2005,12,2005.9583,380.31
2006,1,2006.0417,381.58
2006,2,2006.125,382.4
2006,3,2006.2083,382.86
2006,4,2006.2917,384.8
2006,5,2006.375,385.22
2006,6,2006.4583,384.24
2006,7,2006.5417,382.65
2006,8,2006.625,380.6
2006,9,2006.7083,379.04
2006,10,2006.7917,379.33
2006,11,2006.875,380.35
2006,12,2006.9583,382.02
2007,1,2007.0417,383.1
2007,2,2007.125,384.12
2007,3,2007.2083,384.81
2007,4,2007.2917,386.73
2007,5,2007.375,386.78
2007,6,2007.4583,386.33
2007,7,2007.5417,384.73
2007,8,2007.625,382.24
2007,9,2007.7083,381.2
2007,10,2007.7917,381.37
2007,11,2007.875,382.7
2007,12,2007.9583,384.19
2008,1,2008.0417,385.78
2008,2,2008.125,386.06
2008,3,2008.2083,386.28
2008,4,2008.2917,387.33
2008,5,2008.375,388.78
2008,6,2008.4583,387.99
2008,7,2008.5417,386.6
2008,8,2008.625,384.32
2008,9,2008.7083,383.41
2008,10,2008.7917,383.21
2008,11,2008.875,384.41
2008,12,2008.9583,385.79
2009,1,2009.0417,387.17
2009,2,2009.125,387.7
2009,3,2009.2083,389.04
2009,4,2009.2917,389.76
2009,5,2009.375,390.36
2009,6,2009.4583,389.7
2009,7,2009.5417,388.25
2009,8,2009.625,386.29
2009,9,2009.7083,384.95
2009,10,2009.7917,384.64
2009,11,2009.875,386.23
2009,12,2009.9583,387.63
2010,1,2010.0417,388.91
2010,2,2010.125,390.41
2010,3,2010.2083,391.37
2010,4,2010.2917,392.67
2010,5,2010.375,393.21
2010,6,2010.4583,392.38
2010,7,2010.5417,390.41
2010,8,2010.625,388.54
2010,9,2010.7083,387.03
2010,10,2010.7917,387.43
2010,11,2010.875,388.87
2010,12,2010.9583,389.99
2011,1,2011.0417,391.5
2011,2,2011.125,392.05
2011,3,2011.2083,392.8
2011,4,2011.2917,393.44
2011,5,2011.375,394.41
2011,6,2011.4583,393.95
2011,7,2011.5417,392.72
2011,8,2011.625,390.33
2011,9,2011.7083,389.28
2011,10,2011.7917,389.19
2011,11,2011.875,390.48
2011,12,2011.9583,392.06
2012,1,2012.0417,393.31
2012,2,2012.125,394.04
2012,3,2012.2083,394.59
2012,4,2012.2917,396.38
2012,5,2012.375,396.93
2012,6,2012.4583,395.91
2012,7,2012.5417,394.56
2012,8,2012.625,392.59
2012,9,2012.7083,391.32
2012,10,2012.7917,391.27
2012,11,2012.875,393.2
2012,12,2012.9583,394.57
2013,1,2013.0417,395.78
2013,2,2013.125,397.03
2013,3,2013.2083,397.66
2013,4,2013.2917,398.64
2013,5,2013.375,400.02
2013,6,2013.4583,398.81
2013,7,2013.5417,397.51
2013,8,2013.625,395.39
2013,9,2013.7083,393.72
2013,10,2013.7917,393.9
2013,11,2013.875,395.36
2013,12,2013.9583,397.03
2014,1,2014.0417,398.04
2014,2,2014.125,398.27
2014,3,2014.2083,399.91
2014,4,2014.2917,401.51
2014,5,2014.375,401.96
2014,6,2014.4583,401.43
2014,7,2014.5417,399.38
2014,8,2014.625,397.32
2014,9,2014.7083,395.64
2014,10,2014.7917,396.29
2014,11,2014.875,397.55
2014,12,2014.9583,399.15
2015,1,2015.0417,400.18
2015,2,2015.125,400.55
2015,3,2015.2083,401.74
2015,4,2015.2917,403.35
2015,5,2015.375,404.15
2015,6,2015.4583,402.97
2015,7,2015.5417,401.46
2015,8,2015.625,399.11
2015,9,2015.7083,397.82
2015,10,2015.7917,398.49
2015,11,2015.875,400.27
2015,12,2015.9583,402.06
2016,1,2016.0417,402.73
2016,2,2016.125,404.25
2016,3,2016.2083,405.06
2016,4,2016.2917,407.6
2016,5,2016.375,407.9
2016,6,2016.4583,406.99
2016,7,2016.5417,404.59
2016,8,2016.625,402.45
2016,9,2016.7083,401.23
2016,10,2016.7917,401.79
2016,11,2016.875,403.72
2016,12,2016.9583,404.64
2017,1,2017.0417,406.36
2017,2,2017.125,406.66
2017,3,2017.2083,407.54
2017,4,2017.2917,409.22
2017,5,2017.375,409.89
2017,6,2017.4583,409.08
2017,7,2017.5417,407.33
2017,8,2017.625,405.32
2017,9,2017.7083,403.57
2017,10,2017.7917,403.82
2017,11,2017.875,405.31
2017,12,2017.9583,407
2018,1,2018.0417,408.15
2018,2,2018.125,408.52
2018,3,2018.2083,409.59
2018,4,2018.2917,410.45
2018,5,2018.375,411.44
2018,6,2018.4583,410.99
2018,7,2018.5417,408.9
2018,8,2018.625,407.16
2018,9,2018.7083,405.71
2018,10,2018.7917,406.19
2018,11,2018.875,408.21
2018,12,2018.9583,409.27
2019,1,2019.0417,411.03
2019,2,2019.125,411.96
2019,3,2019.2083,412.18
2019,4,2019.2917,413.54
2019,5,2019.375,414.86
2019,6,2019.4583,414.16
2019,7,2019.5417,411.97
2019,8,2019.625,410.18
2019,9,2019.7083,408.76
2019,10,2019.7917,408.75
2019,11,2019.875,410.48
2019,12,2019.9583,411.98
2020,1,2020.0417,413.61
2020,2,2020.125,414.34
2020,3,2020.2083,414.74
2020,4,2020.2917,416.45
2020,5,2020.375,417.31
2020,6,2020.4583,416.62
2020,7,2020.5417,414.62
2020,8,2020.625,412.78
2020,9,2020.7083,411.52
2020,10,2020.7917,411.51
2020,11,2020.875,413.11
2020,12,2020.9583,414.25
2021,1,2021.0417,415.52
2021,2,2021.125,416.75
2021,3,2021.2083,417.64
